V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13
261899	RR00125182	hsa-let-7e-5p	miRNA	Homo sapiens	ARID2	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:196528	0.6184	N/A	N/A	Bayesian target prediction algorithm
261900	RR00125368	hsa-let-7e-5p	miRNA	Homo sapiens	ARID3A	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:1820	0.7141	qRT-PCR//Luciferase reporter assay//Western blot	HITS-CLIP//eCLIP//CLIP-seq//PAR-CLIP	Cupid//MirTarget//Bayesian target prediction algorithm
261901	RR00125442	hsa-let-7e-5p	miRNA	Homo sapiens	ARID3B	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:10620	0.6532	RT-PCR//Reporter assay//Western blot	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
261904	RR00126198	hsa-let-7e-5p	miRNA	Homo sapiens	ARIH1	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:25820	0.6384	N/A	HITS-CLIP//PAR-CLIP	Bayesian target prediction algorithm
261925	RR00249920	hsa-let-7e-5p	miRNA	Homo sapiens	ARPIN-AP3S2	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:100526783	0.6034	N/A	HITS-CLIP//PAR-CLIP	N/A
261963	RR00156470	hsa-let-7e-5p	miRNA	Homo sapiens	ATG16L1	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:55054	0.6121	N/A	HITS-CLIP//eCLIP//CLIP-seq//PAR-CLIP	Bayesian target prediction algorithm
261965	RR00157361	hsa-let-7e-5p	miRNA	Homo sapiens	ATG9A	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:79065	0.6127	N/A	HITS-CLIP//eCLIP//CLIP-seq//PAR-CLIP	N/A
261969	RR00159340	hsa-let-7e-5p	miRNA	Homo sapiens	ATP13A3	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:79572	0.6203	N/A	HITS-CLIP//PAR-CLIP	Bayesian target prediction algorithm
261973	RR00160179	hsa-let-7e-5p	miRNA	Homo sapiens	ATP2A2	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:488	0.6429	N/A	CLIP-seq	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
261975	RR00160513	hsa-let-7e-5p	miRNA	Homo sapiens	ATP2B1	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:490	0.6151	N/A	CLIP-seq	Cupid//miRanda//Bayesian target prediction algorithm
261980	RR00161854	hsa-let-7e-5p	miRNA	Homo sapiens	ATP5MC2	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:517	0.606	N/A	HITS-CLIP//CLASH//PAR-CLIP	N/A
261988	RR00163787	hsa-let-7e-5p	miRNA	Homo sapiens	ATP6V1F	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:9296	0.6534	N/A	CLIP-seq//PAR-CLIP	miRanda
261990	RR00163847	hsa-let-7e-5p	miRNA	Homo sapiens	ATP6V1G1	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:9550	0.6588	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	miRanda//MirTarget
262006	RR00167162	hsa-let-7e-5p	miRNA	Homo sapiens	ATXN7L3	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:56970	0.6199	N/A	HITS-CLIP//CLIP-seq//CLASH//PAR-CLIP//eCLIP	Bayesian target prediction algorithm
262029	RR00209360	hsa-let-7e-5p	miRNA	Homo sapiens	BACH1	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:571	0.7295	RT-PCR//Reporter assay//Western blot	CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
262104	RR00209478	hsa-let-7e-5p	miRNA	Homo sapiens	BRIP1	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:83990	0.7142	N/A	HITS-CLIP//CLASH//eCLIP//PAR-CLIP	N/A
262107	RR00232324	hsa-let-7e-5p	miRNA	Homo sapiens	BRWD1	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:54014	0.6743	N/A	HITS-CLIP//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
262117	RR00235098	hsa-let-7e-5p	miRNA	Homo sapiens	BTG2	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:7832	0.6477	N/A	HITS-CLIP//eCLIP//CLIP-seq//PAR-CLIP	MirTarget//Bayesian target prediction algorithm
262124	RR00236760	hsa-let-7e-5p	miRNA	Homo sapiens	BZW1	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:9689	0.6144	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
262190	RR00261593	hsa-let-7e-5p	miRNA	Homo sapiens	C5orf51	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:285636	0.6509	N/A	CLIP-seq//PAR-CLIP	miRanda//MirTarget//Bayesian target prediction algorithm
262229	RR00271792	hsa-let-7e-5p	miRNA	Homo sapiens	CALU	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:813	0.6462	N/A	HITS-CLIP//eCLIP//CLIP-seq//PAR-CLIP	MirTarget//Bayesian target prediction algorithm
262250	RR00276273	hsa-let-7e-5p	miRNA	Homo sapiens	CAPZB	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:832	0.604	N/A	N/A	Bayesian target prediction algorithm
262266	RR00279263	hsa-let-7e-5p	miRNA	Homo sapiens	CASP8AP2	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:9994	0.6137	N/A	HITS-CLIP//PAR-CLIP	N/A
262280	RR00286353	hsa-let-7e-5p	miRNA	Homo sapiens	CBX5	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:23468	0.6863	N/A	CLIP-seq//CLASH//PAR-CLIP	MirTarget
262299	RR00291864	hsa-let-7e-5p	miRNA	Homo sapiens	CCDC71L	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:168455	0.6125	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	miRanda//MirTarget//Bayesian target prediction algorithm
262315	RR00294774	hsa-let-7e-5p	miRNA	Homo sapiens	CCND1	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:595	0.6421	Western blot//RT-PCR//Reporter assay//qRT-PCR//Luciferase reporter assay	HITS-CLIP//eCLIP//CLIP-seq//PAR-CLIP	MirTarget//Bayesian target prediction algorithm
262316	RR00295016	hsa-let-7e-5p	miRNA	Homo sapiens	CCND2	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:894	0.6572	Reporter assay//Western blot	HITS-CLIP//Microarray//CLIP-seq//PAR-CLIP	Cupid//MirTarget//Bayesian target prediction algorithm
262337	RR00299160	hsa-let-7e-5p	miRNA	Homo sapiens	CD164	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:8763	0.6634	N/A	HITS-CLIP//eCLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
262360	RR00304532	hsa-let-7e-5p	miRNA	Homo sapiens	CDC25A	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:993	0.603	Reporter assay//Western blot	HITS-CLIP//Microarray//CLIP-seq	miRanda//MirTarget
262392	RR00313449	hsa-let-7e-5p	miRNA	Homo sapiens	CDV3	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:55573	0.6414	N/A	CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
262406	RR00316360	hsa-let-7e-5p	miRNA	Homo sapiens	CEMIP2	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:23670	0.6679	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	miRanda//MirTarget//Bayesian target prediction algorithm
262410	RR00317771	hsa-let-7e-5p	miRNA	Homo sapiens	CEP120	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:153241	0.6508	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
262426	RR00320378	hsa-let-7e-5p	miRNA	Homo sapiens	CERS2	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:29956	0.6237	N/A	HITS-CLIP//CLIP-seq	miRanda
262434	RR00322271	hsa-let-7e-5p	miRNA	Homo sapiens	CFL2	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:1073	0.6304	N/A	HITS-CLIP//PAR-CLIP	Cupid//MirTarget
262443	RR00324469	hsa-let-7e-5p	miRNA	Homo sapiens	CHD4	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:1108	0.6038	N/A	HITS-CLIP//eCLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
262478	RR00337467	hsa-let-7e-5p	miRNA	Homo sapiens	CLDN12	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:9069	0.6464	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
262499	RR00341533	hsa-let-7e-5p	miRNA	Homo sapiens	CLP1	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:10978	0.6412	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	miRanda//MirTarget//Bayesian target prediction algorithm
262520	RR00258317	hsa-let-7e-5p	miRNA	Homo sapiens	CNOT11	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:55571	0.6056	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	miRanda
262534	RR00350275	hsa-let-7e-5p	miRNA	Homo sapiens	COIL	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:8161	0.6529	N/A	CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
262548	RR00352033	hsa-let-7e-5p	miRNA	Homo sapiens	COL4A2	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:1284	0.6203	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//MirTarget//Bayesian target prediction algorithm
262563	RR00354552	hsa-let-7e-5p	miRNA	Homo sapiens	COPB1	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:1315	0.6048	N/A	HITS-CLIP//PAR-CLIP	N/A
262577	RR00249074	hsa-let-7e-5p	miRNA	Homo sapiens	COX14	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:84987	0.6408	N/A	CLASH	N/A
262590	RR00359505	hsa-let-7e-5p	miRNA	Homo sapiens	CPEB4	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:80315	0.6317	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//Bayesian target prediction algorithm
262611	RR00365903	hsa-let-7e-5p	miRNA	Homo sapiens	CRK	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:1398	0.6516	N/A	HITS-CLIP//CLASH//CLIP-seq//PAR-CLIP	MirTarget
262618	RR00369707	hsa-let-7e-5p	miRNA	Homo sapiens	CRY2	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:1408	0.6759	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	miRanda//MirTarget//Bayesian target prediction algorithm
262620	RR00370285	hsa-let-7e-5p	miRNA	Homo sapiens	CS	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:1431	0.6189	N/A	HITS-CLIP//CLASH//PAR-CLIP	miRanda
262641	RR00379012	hsa-let-7e-5p	miRNA	Homo sapiens	CTSA	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:5476	0.6194	N/A	CLIP-seq//CLASH	miRanda
262728	RR00429637	hsa-let-7e-5p	miRNA	Homo sapiens	DDOST	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:1650	0.6631	N/A	HITS-CLIP//CLASH//eCLIP//PAR-CLIP	N/A
262737	RR00432318	hsa-let-7e-5p	miRNA	Homo sapiens	DDX6	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:1656	0.6087	N/A	N/A	Bayesian target prediction algorithm
262776	RR00439827	hsa-let-7e-5p	miRNA	Homo sapiens	DICER1	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:23405	0.7316	IHC//RT-PCR//FISH//Reporter assay	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//MirTarget//Bayesian target prediction algorithm
262807	RR00447824	hsa-let-7e-5p	miRNA	Homo sapiens	DNAJB9	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:4189	0.6024	N/A	HITS-CLIP//eCLIP//CLIP-seq//PAR-CLIP	Bayesian target prediction algorithm
262874	RR00460446	hsa-let-7e-5p	miRNA	Homo sapiens	DUSP16	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:80824	0.61	N/A	CLIP-seq	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
262879	RR00461160	hsa-let-7e-5p	miRNA	Homo sapiens	DUSP4	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:1846	0.6073	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//Bayesian target prediction algorithm
262889	RR00463467	hsa-let-7e-5p	miRNA	Homo sapiens	DYRK2	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:8445	0.6091	N/A	HITS-CLIP//CLASH//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
262896	RR00479318	hsa-let-7e-5p	miRNA	Homo sapiens	E2F6	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:1876	0.6407	N/A	HITS-CLIP//ChIP-seq//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
262907	RR00482492	hsa-let-7e-5p	miRNA	Homo sapiens	EDEM3	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:80267	0.6325	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
262908	RR00482703	hsa-let-7e-5p	miRNA	Homo sapiens	EDN1	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:1906	0.6616	N/A	CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
262941	RR00491638	hsa-let-7e-5p	miRNA	Homo sapiens	EIF4E2	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:9470	0.6002	N/A	N/A	Bayesian target prediction algorithm
262944	RR00491830	hsa-let-7e-5p	miRNA	Homo sapiens	EIF4EBP2	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:1979	0.6373	N/A	CLASH	Bayesian target prediction algorithm
262947	RR00492193	hsa-let-7e-5p	miRNA	Homo sapiens	EIF4G2	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:1982	0.661	N/A	CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
262956	RR00495811	hsa-let-7e-5p	miRNA	Homo sapiens	ELMSAN1	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:91748	0.6698	N/A	HITS-CLIP//CLASH//PAR-CLIP	Bayesian target prediction algorithm
263001	RR00505945	hsa-let-7e-5p	miRNA	Homo sapiens	EPHA4	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:2043	0.6745	N/A	HITS-CLIP//CLIP-seq//PARE//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
263036	RR00512624	hsa-let-7e-5p	miRNA	Homo sapiens	ESPL1	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:9700	0.6538	N/A	CLIP-seq//PAR-CLIP	miRanda//MirTarget
263044	RR00514432	hsa-let-7e-5p	miRNA	Homo sapiens	ETNK1	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:55500	0.6565	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget
263079	RR00538861	hsa-let-7e-5p	miRNA	Homo sapiens	FAM135A	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:57579	0.6209	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
263086	RR00539897	hsa-let-7e-5p	miRNA	Homo sapiens	FAM160B1	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:57700	0.6218	N/A	HITS-CLIP//CLASH//PAR-CLIP	N/A
263102	RR00544596	hsa-let-7e-5p	miRNA	Homo sapiens	FAM222B	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:55731	0.6619	N/A	HITS-CLIP//eCLIP//CLIP-seq//PAR-CLIP	miRanda
263107	RR00546288	hsa-let-7e-5p	miRNA	Homo sapiens	FAM49B	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:51571	0.6465	N/A	CLIP-seq	miRanda//Bayesian target prediction algorithm
263160	RR00557560	hsa-let-7e-5p	miRNA	Homo sapiens	FCHO2	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:115548	0.617	N/A	N/A	Cupid//Bayesian target prediction algorithm
263177	RR00565999	hsa-let-7e-5p	miRNA	Homo sapiens	FIGN	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:55137	0.66	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
263184	RR00567012	hsa-let-7e-5p	miRNA	Homo sapiens	FKBP3	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:2287	0.6049	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda
263201	RR00572121	hsa-let-7e-5p	miRNA	Homo sapiens	FNDC3A	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:22862	0.657	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
263202	RR00572401	hsa-let-7e-5p	miRNA	Homo sapiens	FNDC3B	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:64778	0.6153	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
263205	RR00572885	hsa-let-7e-5p	miRNA	Homo sapiens	FNIP1	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:96459	0.6383	N/A	CLIP-seq	miRanda//MirTarget//Bayesian target prediction algorithm
263254	RR00581824	hsa-let-7e-5p	miRNA	Homo sapiens	FTLP3	pseudo	Homo sapiens	miRBase:MIMAT0000066	NCBI:284764	0.6046	N/A	HITS-CLIP//eCLIP//PAR-CLIP	N/A
263269	RR00584966	hsa-let-7e-5p	miRNA	Homo sapiens	FZD3	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:7976	0.6009	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	MirTarget//Bayesian target prediction algorithm
263310	RR00604895	hsa-let-7e-5p	miRNA	Homo sapiens	GARS	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:2617	0.6956	N/A	PAR-CLIP	N/A
263335	RR00614493	hsa-let-7e-5p	miRNA	Homo sapiens	GGA3	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:23163	0.6684	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
263347	RR00616937	hsa-let-7e-5p	miRNA	Homo sapiens	GIPC1	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:10755	0.6007	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
263359	RR00620086	hsa-let-7e-5p	miRNA	Homo sapiens	GLMN	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:11146	0.62	N/A	HITS-CLIP//PAR-CLIP	N/A
263372	RR00624460	hsa-let-7e-5p	miRNA	Homo sapiens	GMNN	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:51053	0.6356	N/A	HITS-CLIP//CLASH//eCLIP//PAR-CLIP	N/A
263384	RR00627230	hsa-let-7e-5p	miRNA	Homo sapiens	GNG5	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:2787	0.7063	N/A	HITS-CLIP//CLIP-seq//CLASH//PAR-CLIP//eCLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
263390	RR00628734	hsa-let-7e-5p	miRNA	Homo sapiens	GOLGA4	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:2803	0.6809	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
263411	RR00632931	hsa-let-7e-5p	miRNA	Homo sapiens	GPCPD1	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:56261	0.6033	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
263454	RR00643264	hsa-let-7e-5p	miRNA	Homo sapiens	GRPEL2	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:134266	0.635	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	miRanda//MirTarget//Bayesian target prediction algorithm
263477	RR00648503	hsa-let-7e-5p	miRNA	Homo sapiens	GXYLT1	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:283464	0.6258	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
263508	RR00703029	hsa-let-7e-5p	miRNA	Homo sapiens	HECTD1	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:25831	0.6172	N/A	N/A	Bayesian target prediction algorithm
263529	RR00707524	hsa-let-7e-5p	miRNA	Homo sapiens	HIC2	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:23119	0.6648	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	miRanda//MirTarget//Bayesian target prediction algorithm
263531	RR00708018	hsa-let-7e-5p	miRNA	Homo sapiens	HIF1AN	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:55662	0.6461	N/A	HITS-CLIP//CLIP-seq//CLASH//PAR-CLIP//eCLIP	miRanda//MirTarget//Bayesian target prediction algorithm
263535	RR00709132	hsa-let-7e-5p	miRNA	Homo sapiens	HIPK2	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:28996	0.6241	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Bayesian target prediction algorithm
263557	RR00713277	hsa-let-7e-5p	miRNA	Homo sapiens	HMGA1	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:3159	0.6219	N/A	CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
263561	RR00714299	hsa-let-7e-5p	miRNA	Homo sapiens	HMGCS1	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:3157	0.6653	N/A	HITS-CLIP//PAR-CLIP	Bayesian target prediction algorithm
263614	RR00729402	hsa-let-7e-5p	miRNA	Homo sapiens	HUWE1	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:10075	0.6259	N/A	PAR-CLIP	N/A
263618	RR00737360	hsa-let-7e-5p	miRNA	Homo sapiens	IARS	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:3376	0.6299	N/A	N/A	Bayesian target prediction algorithm
263643	RR00742396	hsa-let-7e-5p	miRNA	Homo sapiens	IGDCC4	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:57722	0.6116	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	miRanda//MirTarget//Bayesian target prediction algorithm
263645	RR00742752	hsa-let-7e-5p	miRNA	Homo sapiens	IGF1R	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:3480	0.6826	Western blot//RT-PCR//Reporter assay//qRT-PCR//Luciferase reporter assay	HITS-CLIP//CLASH//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
263646	RR00743045	hsa-let-7e-5p	miRNA	Homo sapiens	IGF2BP1	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:10642	0.6352	Northern blot//Western blot//Reporter assay	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
263648	RR00743401	hsa-let-7e-5p	miRNA	Homo sapiens	IGF2BP3	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:10643	0.6321	N/A	CLIP-seq//CLASH//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
263690	RR00752510	hsa-let-7e-5p	miRNA	Homo sapiens	INO80D	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:54891	0.6539	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//Bayesian target prediction algorithm
263722	RR00759524	hsa-let-7e-5p	miRNA	Homo sapiens	IRS2	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:8660	0.6557	N/A	CLIP-seq//CLASH	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
263776	RR00785185	hsa-let-7e-5p	miRNA	Homo sapiens	KATNAL1	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:84056	0.6096	N/A	HITS-CLIP//CLASH//CLIP-seq	miRanda//MirTarget
263812	RR00794323	hsa-let-7e-5p	miRNA	Homo sapiens	KDELR1	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:10945	0.6408	N/A	PAR-CLIP	N/A
263819	RR00795758	hsa-let-7e-5p	miRNA	Homo sapiens	KDM5B	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:10765	0.627	N/A	HITS-CLIP//CLASH//PAR-CLIP	N/A
263824	RR00797398	hsa-let-7e-5p	miRNA	Homo sapiens	KHNYN	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:23351	0.6056	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget
263834	RR00799451	hsa-let-7e-5p	miRNA	Homo sapiens	KIAA1147	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:57189	0.6163	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	N/A
263887	RR00812245	hsa-let-7e-5p	miRNA	Homo sapiens	KMT2D	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:8085	0.6235	N/A	HITS-CLIP//eCLIP//PAR-CLIP	MirTarget
263896	RR00813899	hsa-let-7e-5p	miRNA	Homo sapiens	KPNA5	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:3841	0.6676	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	N/A
263928	RR00836122	hsa-let-7e-5p	miRNA	Homo sapiens	LBR	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:3930	0.6479	N/A	HITS-CLIP//eCLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
263938	RR00837845	hsa-let-7e-5p	miRNA	Homo sapiens	LDB1	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:8861	0.6163	N/A	N/A	MirTarget//Bayesian target prediction algorithm
263940	RR00838344	hsa-let-7e-5p	miRNA	Homo sapiens	LDLR	mRNA	Homo sapiens	miRBase:MIMAT0000066	NCBI:3949	0.6159	N/A	HITS-CLIP//eCLIP//PAR-CLIP	N/A
